source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,I have stated my concerns with Amazon long before the Election. Unlike others they pay little or no taxes to state &amp; local governments use our Postal System as their Delivery Boy (causing tremendous loss to the U.S.) and are putting many thousands of retailers out of business!,03-29-2018 11:57:38,33388,130541,false,979326715272065024
Twitter for iPhone,Twitter is getting rid of fake accounts at a record pace. Will that include the Failing New York Times and propaganda machine for Amazon the Washington Post who constantly quote anonymous sources that in my opinion don’t exist - They will both be out of business in 7 years!,07-07-2018 13:21:11,30058,126598,false,1015586529484443648
Twitter for iPhone,Why is the United States Post Office which is losing many billions of dollars a year while charging Amazon and others so little to deliver their packages making Amazon richer and the Post Office dumber and poorer? Should be charging MUCH MORE!,12-29-2017 13:04:09,27652,118765,false,946728546633953285
Twitter for iPhone,The Fake News Washington Post Amazon’s “chief lobbyist” has another (of many) phony headlines “Trump Defiant As China Adds Trade Penalties.” WRONG! Should read “Trump Defiant as U.S. Adds Trade Penalties Will End Barriers And Massive  I.P. Theft.” Typically bad reporting!,04-05-2018 13:10:07,24732,93542,false,981881669593559040
Twitter for iPhone,...does not include the Fake Washington Post which is used as a “lobbyist” and should so  REGISTER. If the P.O. “increased its parcel rates Amazon’s shipping costs would rise by $2.6 Billion.” This Post Office scam must stop. Amazon must pay real costs (and taxes) now!,03-31-2018 12:52:59,22610,89937,false,980065419632566272
Twitter for iPhone,E-mails show that the AmazonWashingtonPost and the FailingNewYorkTimes were reluctant to cover the Clinton/Lynch secret meeting in plane.,08-08-2017 18:00:30,24056,85946,false,894981661926068228
Twitter for iPhone,The Amazon Washington Post has gone crazy against me ever since they lost the Internet Tax Case in the U.S. Supreme Court two months ago. Next up is the U.S. Post Office which they use at a fraction of real cost as their “delivery boy” for a BIG percentage of their packages....,07-23-2018 13:21:15,20498,85390,false,1021384752136409088
Twitter for iPhone,I am right about Amazon costing the United States Post Office massive amounts of money for being their Delivery Boy. Amazon should pay these costs (plus) and not have them bourne by the American Taxpayer. Many billions of dollars. P.O. leaders don’t have a clue (or do they?)!,04-03-2018 13:55:37,20292,84366,false,981168344924536832
Twitter for iPhone,....In my opinion the Washington Post is nothing more than an expensive (the paper loses a fortune) lobbyist for Amazon. Is it used as protection against antitrust claims which many feel should be brought?,07-23-2018 13:35:20,18549,82618,false,1021388295618682881
Twitter for iPhone,While we are on the subject it is reported that the U.S. Post Office will lose $1.50 on average for each package it delivers for Amazon. That amounts to Billions of Dollars. The Failing N.Y. Times reports that “the size of the company’s lobbying staff has ballooned” and that...,03-31-2018 12:45:41,21657,82372,false,980063581592047617
Twitter for iPhone,Only fools or worse are saying that our money losing Post Office makes money with Amazon. THEY LOSE A FORTUNE and this will be changed. Also our fully tax paying retailers are closing stores all over the country...not a level playing field!,04-02-2018 13:35:03,18414,77519,false,980800783313702918
Twitter for iPhone,A new INTELLIGENCE LEAK from the Amazon Washington Postthis time against A.G. Jeff Sessions.These illegal leaks like Comey's must stop!,07-22-2017 10:33:01,19168,73455,false,888708453560184832
Twitter for iPhone,It's hard to read the Failing New York Times or the Amazon Washington Post because every story/opinion even if should be positive is bad!,07-23-2017 23:57:36,15589,71155,false,889273320574783489
Twitter for iPhone,Amazon is doing great damage to tax paying retailers. Towns cities and states throughout the U.S. are being hurt - many jobs being lost!,08-16-2017 10:12:45,18254,70636,false,897763049226084352
