source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Apple prices may increase because of the massive Tariffs we may be imposing on China - but there is an easy solution where there would be ZERO tax and indeed a tax incentive. Make your products in the United States instead of China. Start building new plants now. Exciting! #MAGA,09-08-2018 15:45:28,28281,112546,false,1038453273286664193
Twitter for iPhone,Had a very good phone call with @EmmanuelMacron President of France. Discussed various subjects in particular Security and Trade. Many other calls and conversations today. Looking forward to dinner tonight with Tim Cook of Apple. He is investing big dollars in U.S.A.,08-10-2018 22:47:45,16408,79785,false,1028050296151400453
Twitter for iPhone,Why didn’t President Obama do something about the so-called Russian Meddling when he was told about it by the FBI before the Election? Because he thought Crooked Hillary was going to win and he didn’t want to upset the apple cart! He was in charge not me and did nothing.,05-27-2018 20:32:33,34148,126769,false,1000837182297464832
Twitter for iPhone,Looking forward to my meeting with Tim Cook of Apple. We will be talking about many things including how the U.S. has been treated unfairly for many years by many countries on trade.,04-25-2018 14:11:57,15984,86666,false,989144989690187776
Twitter for iPhone,I promised that my policies would allow companies like Apple to bring massive amounts of money back to the United States. Great to see Apple follow through as a result of TAX CUTS. Huge win for American workers and the USA! https://t.co/OwXVUyLOb1,01-17-2018 23:28:30,24533,92540,false,953771038114045954
Twitter for iPhone,Thank you- Appleton Wisconsin!#WIPrimary #Trump2016 https://t.co/XkbTWHpEvy https://t.co/klUNUV2J5S,03-30-2016 21:35:14,6218,17001,false,715291320563146752
Twitter for Android,Boycott all Apple products  until such time as Apple gives cellphone info to authorities regarding radical Islamic terrorist couple from Cal,02-19-2016 21:38:07,4312,10640,false,700796528844103680
Twitter Web Client,I use both iPhone &amp; Samsung. If Apple doesn't give info to authorities on the terrorists I'll only be using Samsung until they give info.,02-19-2016 21:32:43,3570,9586,false,700795170023825408
Twitter for Android,"@ChadR73: Guess Barry Diller is afraid @realDonaldTrump is about to upset the crony applecart. #Trump2016 @Carl_C_Icahn" An angry fool!,10-06-2015 23:18:51,523,1201,false,651537131110797312
Twitter for Android,"@Sheriapple: @realDonaldTrump Thought ur interview w @donlemon was inspiring. U speak the truth.,07-02-2015 12:58:43,66,191,false,616591833834127360
Twitter for Android,"@MunichEleven: Baseball Hotdogs Apple Pie and a vote for @realDonaldTrump in 502 days! On 11/08/2016 we make our country great again!",06-25-2015 03:07:11,113,261,false,613906254390554624
Twitter for Android,"@japple8686: @My3Alexandra @realDonaldTrump cop was unarmed watch the news",01-08-2015 00:23:10,20,39,false,552983818622484481
Twitter for Android,"@TLCr2: @jennyapples @realDonaldTrump @cnnbrk @CNN no thanks to obama",11-01-2014 01:21:51,20,37,false,528356208101830656
Twitter Web Client,I’ll bet if I didn’t harass Apple for the last 2 years about the large screen iPhone they wouldn’t have done it—but it bends &amp; breaks!,09-25-2014 20:35:11,299,267,false,515238103007494144
Twitter Web Client,Flashback from October 2013: “Donald Trump demands larger iPhone screen” http://t.co/5CCg8p8N2O You’re welcome! Apple listened.,09-10-2014 18:49:49,133,150,false,509775768554332160
Twitter for Android,"@mappleby747: Trump 2016! We need someone who not only wants to Change this country but can change this country. @realDonaldTrump" Thanks.,06-01-2014 01:09:39,23,53,false,472907796087074816
Twitter Web Client,"@DonNadeau Thank you so much for supporting a larger Galaxy-like iPhone screen. Even with glasses current one strains. #Apple"  True.,04-01-2014 13:30:05,16,30,false,450988471285743616
Twitter Web Client,I wonder if Apple is upset with me for hounding them to produce a large screen iPhone. I hear they will be doing it soon—long overdue.,03-24-2014 14:18:20,306,471,false,448101512280305664
Twitter for Android,"@stephinkycheese: @gjonesiv @StuartAppleby Yep what a rough day.. I bet @realDonaldTrump loves the leaderboard looking like a U.S. Open.",03-08-2014 09:37:09,4,21,false,442232544810258432
Twitter for Android,"@WaApples: @realDonaldTrump Valentine's Day and wife's 40th @TrumpChicago this weekend!!" Great.,02-14-2014 20:00:20,6,15,false,434416840027410432
Twitter for Android,Steve Jobs is spinning in his grave - Apple has lost both vision and momentum - must move fast to get magic back!,01-28-2014 12:23:23,565,316,false,428141250228006912
Twitter for Android,I predicted Apple's stock fall based on their dumb refusal to give the option of a larger  iPhone screen like Samsung. I sold my Apple stock,01-28-2014 11:49:00,572,351,false,428132600621064192
Twitter for Android,Apple's iPhone sales fell way short-they must go to a larger screen as alternative fast (as I said long ago)! Samsung's size much better.,01-28-2014 11:43:03,316,222,false,428131099932647424
Twitter Web Client,Rumor has it Apple is going to release iPhones with bigger screens. That's good news.,11-15-2013 17:03:14,316,340,false,401394977600577536
Twitter Web Client,Apple must make the IPhone screen bigger. Losing major market share.,10-17-2013 17:45:12,229,142,false,390896287949656064
Twitter Web Client,As an addition Apple must go to a larger screen now--asap! They're losing their standing in the market!,10-14-2013 15:37:00,158,82,false,389776861456125952
Twitter Web Client,As a stockholder in Apple they should get on with a larger screen iPhone as a supplement—immediately.,09-19-2013 18:19:28,166,102,false,380758053638774784
Twitter for Android,"@anthonydefrenza: @realDonaldTrump Apple is hard of hearing."  So true!,09-19-2013 12:49:54,13,8,false,380675115337650176
Twitter for Android,"@KeilaniK1: @realDonaldTrump Apple meant for their phones to go to people who have super sight &amp; abnormally tiny fingers for texting",09-19-2013 10:02:13,87,45,false,380632914708676608
Twitter for Android,I cannot believe that Apple didn't come out with a larger screen IPhone. Samsung is stealing their business. STEVE JOBS IS SPINNING IN GRAVE,09-19-2013 09:50:57,900,459,false,380630080084787200
Twitter for Android,@CarlCICahn   Carl keep lt going I have a lot of Apple stock. Push them to QUICKLY come out with a larger screen for the I-PHone (Samsung),08-15-2013 12:59:38,10,6,false,367993989712343040
Twitter for Android,When I jokingly said "bring back Steve Jobs to run Apple" because Apple has not been doing well the haters &amp; losers had a field day!  Sad.,08-01-2013 12:25:37,162,94,false,362911998147047424
Twitter Web Client,@MikeMcHale09      "@realDonaldTrump Wouldn't you agree that Apple is falling off without visionary Steve Jobs?" Yes.,07-25-2013 15:00:00,9,4,false,360414133532901380
Twitter Web Client,I can’t believe Apple isn’t moving faster to create a larger iPhone screen. Bring back Steve Jobs!,07-24-2013 19:48:42,577,288,false,360124399074025474
Twitter for Android,Apple is finally considering a large screen for the I-Phone-they better get moving fast. When I told them to do this last year they scoffed,07-22-2013 12:35:16,294,126,false,359290546998620161
Twitter for Android,@caroleapple   Great meeting you!,06-22-2013 07:33:15,1,0,false,348342907469705217
Facebook,I have a lot of @Apple stock--- and I miss Steve Jobs. Tim Cook must immediately increase the size of the screen... http://t.co/Hr29Kd2fCk,04-29-2013 16:42:07,173,76,false,328912090314182657
Twitter Web Client,I’ve always been a fan of Steve Jobs especially after watching Apple stock collapse w/out him – but the yacht he built is truly ugly.,04-23-2013 19:43:41,684,823,false,326783454089969665
Twitter Web Client,I think it was terrible that Tim Cook of Apple apologized to China. What the hell is he apologizing for? Steve Jobs wouldn’t.,04-02-2013 20:40:41,279,161,false,319187653784371201
Twitter Web Client,“Donald Trump Takes on Apple @CPACnews” http://t.co/gMk9tEBX7R via @kmbznews,03-20-2013 18:13:14,21,10,false,314439506235359232
Twitter Web Client,China court: Apple pays $60M to settle iPad case. China is getting away with murder. http://t.co/L4FVnlof,07-02-2012 20:31:09,80,9,false,219890977882644481
Twitter Web Client,WRONG: A China court ordered @apple to pay $60M to a Chinese company that registered iPad before @apple http://t.co/4sYZMQHh,07-02-2012 20:28:05,60,7,false,219890208487911426
Twitter Web Client,#trumpvlog My thoughts on the State of the Union address Apple and a great @WSJ article.... http://t.co/RRgM3Xxr,01-25-2012 21:22:42,53,23,false,162284282470072321
