source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,“I have seen all of the Russian ads and I can say very definitively that swaying the election was *NOT* the main goal.”Rob GoldmanVice President of Facebook Ads https://t.co/A5ft7cGJkE,02-17-2018 20:16:39,17148,58403,false,964956781670694912
Twitter for iPhone,The Fake News Media never fails. Hard to ignore this fact from the Vice President of Facebook Ads Rob Goldman! https://t.co/XGC7ynZwYJ,02-17-2018 20:11:32,18770,60818,false,964955496137535488
Twitter for iPhone,Crooked Hillary Clinton spent hundreds of millions of dollars more on Presidential Election than I did. Facebook was on her side not mine!,10-21-2017 21:21:08,23221,102739,false,921848853090983938
Twitter for iPhone,Keep hearing about "tiny" amount of money spent on Facebook ads. What about the billions of dollars of Fake News on CNN ABC NBC &amp; CBS?,10-21-2017 20:06:00,24336,101054,false,921829947093733376
Twitter for iPhone,Facebook was always anti-Trump.The Networks were always anti-Trump henceFake News @nytimes(apologized) &amp; @WaPo were anti-Trump. Collusion?,09-27-2017 13:36:24,16482,66773,false,913034591879024640
Twitter for iPhone,The Russia hoax continues now it's ads on Facebook. What about the totally biased and dishonest Media coverage in favor of Crooked Hillary?,09-22-2017 10:44:47,26853,105163,false,911179462745710593
Twitter for iPhone,Thank you Arizona. Beautiful turnout of 15000 in Phoenix tonight! Full coverage of rally via my Facebook at: https://t.co/s0D12EFs40 https://t.co/WT4D9Vsen1,08-23-2017 05:18:29,13248,58229,false,900225712522657792
Twitter for iPhone,Crooked Hillary Clinton now blames everybody but herself refuses to say she was a terrible candidate. Hits Facebook &amp; even Dems &amp; DNC.,06-01-2017 00:40:01,29836,116138,false,870077441401905152
Twitter for iPhone,RT @DanScavino: Join President-elect Trump LIVE from Mobile Alabama via his #Facebook page! #ThankYouTour2016 Watch: https://t.co/btzN080…,12-17-2016 21:17:39,3750,0,true,810232514749075456
Twitter for iPhone,RT @DanScavino: Join @realDonaldTrump LIVE in Denver Colorado via his #Facebook page- we are here!!#MakeAmericaGreatAgain????  https://t.c…,11-06-2016 04:27:00,5320,0,true,795120273070686208
Twitter for Android,Wow Twitter Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!,10-30-2016 14:26:30,35433,72013,false,792734426912337920
Twitter for iPhone,Join @TeamTrump on Facebook &amp; watch tonight's rally from Geneva Ohio- our 3rd rally of the day. #AmericaFirst #MAGA https://t.co/ZqJmf4QcwH,10-28-2016 00:14:46,6330,16056,false,791795308162408448
Twitter for iPhone,Join me LIVE on my Facebook page in St. Augustine Florida! Lets #DrainTheSwamp &amp; MAKE AMERICA GREAT AGAIN!… https://t.co/mPzVrcaR9L,10-24-2016 19:01:18,5396,13803,false,790629257546379264
Twitter for iPhone,Join my team over on my Facebook page- live now! #Debateshttps://t.co/vpDVQfO58A https://t.co/5v1tWzHrxq,10-20-2016 02:51:39,4598,12730,false,788935685088477185
Twitter Web Client,Join me on #FacebookLive as I conclude my final #debate preparations. https://t.co/gAbNvI8Fd7,10-09-2016 23:26:24,4513,13246,false,785260151099961345
Twitter for iPhone,Thank you Henderson NV. This is a MOVEMENT like never seen before! Watch some of the rally via my Facebook page:… https://t.co/dNF8G4VUqY,10-05-2016 21:11:34,5977,15310,false,783776670339641344
Twitter for iPhone,Thank you! Facebook: https://t.co/nmlRJqzA7SInstagram: https://t.co/5gDeluaBXG https://t.co/Pw7GS8R9Gg,07-29-2016 16:34:22,6533,22509,false,759064533814038528
Twitter for Android,I will be using Facebook and Twitter to expose dishonest lightweight Senator Marco Rubio. A record no-show in Senate he is scamming Florida,03-07-2016 13:10:22,5682,15537,false,706829345143316480
Twitter for Android,How do you fight millions of dollars of fraudulent commercials pushing for crooked politicians? I will be using Facebook &amp; Twitter. Watch!,03-07-2016 02:58:38,9070,26299,false,706675395811266560
Twitter for iPhone,"Trump shows complete domination of Facebook conversation" https://t.co/tPiIyk4Dyc,01-26-2016 21:17:15,1899,5631,false,692093970034343936
Twitter for iPhone,We launched a new series of #Trump2016 videos via Facebook. A new topic everyday! Watch: https://t.co/NXWNOcWZgc https://t.co/52E3LU3W77,01-18-2016 19:50:56,2494,5744,false,689173145513791488
Twitter for Android,"@lilredfrmkokomo: @realDonaldTrump My Facebook Groups are all voting TRUMP /4000 people! !!" Great!,01-05-2016 03:47:14,1108,3996,false,684219579548041218
Twitter for iPhone,Join me at 2:00pmEST today - live from Trump Tower - via Facebook &amp; Periscope! https://t.co/FQHNiJet2v,12-02-2015 18:34:45,709,1754,false,672121743247597568
Twitter Web Client,My #GOPDebate @facebook question for the other candidates- http://t.co/3aSLoZYDLx,08-03-2015 20:59:13,312,580,false,628309165337903104
Instagram,Signing The Facebook Wall- https://t.co/6DI8mZtjGg,05-21-2015 01:53:48,22,35,false,601204211251023874
Instagram,I had a great time today visiting Facebook NY. https://t.co/5Zv7GQ5VKq,05-21-2015 01:52:23,22,49,false,601203852868788224
