source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Are the investigative “journalists” of the New York Times going to investigate themselves - who is the anonymous letter writer?,09-06-2018 23:12:02,18804,86141,false,1037840881531801600
Twitter for iPhone,Does the so-called “Senior Administration Official” really exist or is it just the Failing New York Times with another phony source? If the GUTLESS anonymous person does indeed exist the Times must for National Security purposes turn him/her over to government at once!,09-05-2018 23:40:32,31916,120458,false,1037485664433070080
Twitter for iPhone,The Failing New York Times! https://t.co/SHsXvYKpBf,09-05-2018 21:45:54,25528,88162,false,1037456816601485316
Twitter for iPhone,According to the Failing New York Times the FBI started a major effort to flip Putin loyalists in 2014-2016. “It wasn’t about Trump he wasn’t even close to a candidate yet.”  Rigged Witch Hunt!,09-03-2018 19:21:26,18704,72600,false,1036695682072158214
Twitter for iPhone,Some members of the media are very Angry at the Fake Story in the New York Times. They actually called to complain and apologize - a big step forward. From the day I announced the Times has been Fake News and with their disgusting new Board Member it will only get worse!,08-19-2018 12:14:44,22600,88499,false,1031152483949838336
Twitter for iPhone,The Failing New York Times wrote a story that made it seem like the White House Councel had TURNED on the President when in fact it is just the opposite - &amp; the two Fake reporters knew this. This is why the Fake News Media has become the Enemy of the People. So bad for America!,08-19-2018 12:06:43,26504,99816,false,1031150465759633408
Twitter for iPhone,The Boston Globe which was sold to the the Failing New York Times for 1.3 BILLION DOLLARS (plus 800 million dollars in losses &amp; investment) or 2.1 BILLION DOLLARS was then sold by the Times for 1 DOLLAR. Now the Globe is in COLLUSION with other papers on free press. PROVE IT!,08-16-2018 14:00:00,16770,66579,false,1030091812495654912
Twitter for iPhone,...dying newspaper industry. No matter how much they try to distract and cover it up our country is making great progress under my leadership and I will never stop fighting for the American people! As an example the failing New York Times...,07-29-2018 19:09:18,15209,68586,false,1023646668179296257
Twitter for iPhone,Had a very good and interesting meeting at the White House with A.G. Sulzberger Publisher of the New York Times. Spent much time talking about the vast amounts of Fake News being put out by the media &amp; how that Fake News has morphed into phrase “Enemy of the People.” Sad!,07-29-2018 12:30:04,18359,75592,false,1023546197129224192
Twitter for iPhone,Twitter is getting rid of fake accounts at a record pace. Will that include the Failing New York Times and propaganda machine for Amazon the Washington Post who constantly quote anonymous sources that in my opinion don’t exist - They will both be out of business in 7 years!,07-07-2018 13:21:11,30058,126598,false,1015586529484443648
Twitter for iPhone,“Disability applications plunge as economy strengthens”  Failing New York Times,06-23-2018 12:42:45,13619,64222,false,1010503423773507584
Twitter for iPhone,Unlike what the Failing and Corrupt New York Times would like people to believe there is ZERO disagreement within the Trump Administration as to  how to deal with North Korea...and if there was it wouldn’t matter. The @nytimes has called me wrong right from the beginning!,05-26-2018 15:03:33,15224,62326,false,1000391997969092608
Twitter for iPhone,The Failing New York Times criticized Secretary of State Pompeo for being AWOL (missing) when in fact he was flying to North Korea. Fake News so bad!,05-09-2018 22:38:10,26369,106024,false,994345813064192012
Twitter for iPhone,Headline: “Kim Prepared to Cede Nuclear Weapons if U.S. Pledges Not to Invade” - from the Failing New York Times. Also will shut down Nuclear Test Site in May.,04-30-2018 02:59:23,19825,92349,false,990787671281819648
Twitter for iPhone,The New York Times and a third rate reporter named Maggie Haberman known as a Crooked H flunkie who I don’t speak to and have nothing to do with are going out of their way to destroy Michael Cohen and his relationship with me in the hope that he will “flip.” They use....,04-21-2018 13:10:00,14573,59973,false,987679848284999680
Twitter for iPhone,The New York Times and a third rate reporter named Maggie Habberman known as a Crooked H flunkie who I don’t speak to and have nothing to do with are going out of their way to destroy Michael Cohen and his relationship with me in the hope that he will “flip.” They use....,04-21-2018 12:17:22,3574,12690,false,987666600194183168
Twitter for iPhone,If I wanted to fire Robert Mueller in December as reported by the Failing New York Times I would have fired him. Just more Fake News from a biased newspaper!,04-12-2018 10:03:46,19214,87391,false,984371491277099010
Twitter for iPhone,The Failing New York Times wrote another phony story. It was political pundit Doug Schoen not a Ukrainian businessman who asked me to do a short speech by phone (Skype) hosted by Doug in Ukraine. I was very positive about Ukraine-another negative to the Fake Russia  C story!,04-11-2018 10:30:19,17026,67201,false,984015782521835521
